Rate Limit Test - Wed Sep 23 22:20:05 PST 2026
Sending 25 login attempts...

Request 1: HTTP 401
Request 2: HTTP 401
Request 3: HTTP 401
Request 4: HTTP 401
Request 5: HTTP 401
Request 6: HTTP 401
Request 7: HTTP 401
Request 8: HTTP 401
Request 9: HTTP 401
Request 10: HTTP 401
Request 11: HTTP 401
Request 12: HTTP 401
Request 13: HTTP 401
Request 14: HTTP 401
Request 15: HTTP 401
Request 16: HTTP 401
Request 17: HTTP 401
Request 18: HTTP 429
Request 19: HTTP 429
Request 20: HTTP 429
Request 21: HTTP 429
Request 22: HTTP 429
Request 23: HTTP 429
Request 24: HTTP 429
Request 25: HTTP 429

Expected: 401 for first 20, then 429 (rate limited)
